,Rs
,#20210121-1UC-1
299.987350463867,1390.09287590747
299.413864135742,1390.07813923386
298.7919921875,1390.20918889575
298.175842285156,1390.3107614654
297.387802124023,1391.26357823095
296.848556518555,1392.33702225365
296.39518737793,1392.52035995541
295.875045776367,1392.37885792858
295.403701782227,1392.82714117317
294.903854370117,1393.18186620172
294.405685424805,1393.34179375184
293.905792236328,1393.97783008273
293.390991210938,1394.31293117998
292.89518737793,1394.21104777325
292.405487060547,1394.60797174418
291.890594482422,1394.79934252469
291.384857177734,1394.99895985038
290.899658203125,1395.4746117381
290.408798217773,1395.69525363447
289.89990234375,1396.27843268168
289.395797729492,1396.36901360278
288.889846801758,1396.28310272793
288.401901245117,1396.61078867556
287.896392822266,1396.82480936763
287.406356811523,1396.99102481482
286.89469909668,1397.56014878298
286.395355224609,1397.86278800302
285.903564453125,1397.97297413031
285.393493652344,1397.9410515367
284.895401000977,1398.79587223154
284.395950317383,1399.25592234485
283.897003173828,1399.27427671267
283.377990722656,1399.50601511829
282.898147583008,1399.68333830981
282.405639648438,1399.97115846569
281.886749267578,1399.70368503096
281.397598266602,1399.80810381965
280.899444580078,1399.91167248765
280.389801025391,1400.31088092386
279.901504516602,1400.52833205889
279.398345947266,1400.90692038712
278.893951416016,1400.65702984504
278.393096923828,1400.93282472546
277.890396118164,1401.35692259821
277.403503417969,1401.63839868164
276.907440185547,1402.11573957566
276.393203735352,1402.38815644347
275.900161743164,1402.21772035304
275.393203735352,1402.01585226728
274.888000488281,1402.45727462596
274.399002075195,1402.68929765349
273.897750854492,1402.99270085864
273.38330078125,1403.24486088591
272.908142089844,1403.45252252543
272.40185546875,1403.66036018113
271.904556274414,1403.94297100715
271.399658203125,1404.18017340433
270.890197753906,1404.26160897424
270.402404785156,1404.10034445018
269.898193359375,1404.47324408535
269.385437011719,1404.83513334685
268.889190673828,1404.82183101784
268.39518737793,1404.78192777583
267.898056030273,1404.93839866782
267.404495239258,1405.34883094413
266.894836425781,1405.63010105119
266.400253295898,1405.57328902104
265.899505615234,1405.70239875995
265.400741577148,1405.72375289284
264.905303955078,1405.9245461564
264.392288208008,1406.48242755933
263.895492553711,1406.62722146319
263.396194458008,1406.2391507315
262.903701782227,1406.64186825619
262.397750854492,1406.63845279334
261.890151977539,1406.91743469008
261.409255981445,1406.94817011074
260.903503417969,1407.11158802421
260.401657104492,1407.147274368
259.893203735352,1407.24181752561
259.383911132813,1407.52341344985
258.897506713867,1407.6599870237
258.3974609375,1407.83134064527
257.889038085938,1407.96092600236
257.397796630859,1408.6954265321
256.902297973633,1408.89046369214
