T,Rs
K,ohm
,#20210602 mid-1UC
299.9903564,1530.565442
299.3924408,1531.270607
298.8491516,1532.373911
298.3798523,1533.164144
297.8819427,1534.029863
297.3908081,1535.030178
296.9169006,1536.465583
296.3753967,1537.701991
295.9126129,1538.184642
295.3864441,1539.156201
294.8990021,1540.550448
294.3850555,1541.562398
293.8975525,1542.203198
293.4087372,1543.151123
292.8941498,1544.03007
292.3985443,1544.986241
291.9001923,1545.285804
291.3984985,1546.273617
290.91185,1547.526285
290.4179077,1548.422188
289.9024048,1549.132861
289.3948975,1550.10267
288.8950043,1550.829895
288.397049,1551.628053
287.889801,1552.91818
287.3912048,1553.692867
286.8921509,1554.233276
286.3883514,1555.063497
285.8973999,1555.765086
285.3889465,1556.414437
284.8889008,1558.303912
284.3971405,1559.004734
283.8894958,1559.876107
283.3891907,1560.716875
282.8999023,1561.682178
282.4018555,1562.873371
281.9002991,1563.435811
281.3951111,1564.486906
280.9044495,1565.136
280.3905945,1566.089133
279.8883362,1566.62256
279.3892975,1567.355661
278.9083405,1567.997315
278.3726959,1569.016208
277.8918457,1569.664482
277.3961487,1570.409962
276.8928528,1571.416786
276.3836975,1572.256998
275.8845062,1573.089958
275.392807,1574.016203
274.8996582,1574.935178
274.3971405,1575.664066
273.8854065,1576.460924
273.3959045,1576.968515
272.8958435,1577.780556
272.3744049,1578.623103
271.8599548,1579.547634
271.3825531,1580.284382
270.8927002,1581.280155
270.3967438,1582.382798
269.8952026,1583.034736
269.3806,1583.349271
268.8899994,1584.237255
268.3794098,1586.29998
267.8855896,1587.036113
267.3919983,1587.837332
266.8922424,1588.772099
266.3851624,1589.622279
265.8904419,1590.650805
265.3804474,1592.723515
264.8759613,1593.659646
264.375,1594.668705
263.8820953,1595.749078
263.3847504,1596.512826
262.882309,1597.858814
262.3788605,1600.193183
261.8748016,1600.89342
261.3773956,1601.517819
260.8975983,1603.027809
260.3884583,1605.179622
259.8802032,1603.400751
259.3765106,1603.347237
258.8825531,1603.32808
258.3910065,1603.708228
257.8833923,1605.302056
257.3869019,1606.162572
256.8750458,1606.598592
256.3681488,1607.640481
255.8915558,1608.457017
255.3755035,1609.643288
254.873703,1610.735337
254.3876953,1612.722529
253.8769073,1613.942449
253.3780975,1614.908834
252.8899536,1614.582142
252.3772507,1614.801911
251.8639526,1615.622943
251.3676987,1616.76009
250.8751984,1617.512091
250.3845978,1617.477903
249.8841476,1618.057123
249.3790512,1619.284494
248.8885574,1619.913125
248.3796997,1620.785968
247.8871002,1621.567883
247.3656006,1622.083762
246.8832016,1623.048988
246.387352,1623.91092
245.8812943,1624.730184
245.3885498,1625.43367
244.8769455,1626.239249
244.3730469,1626.935395
243.878952,1627.739154
243.3723526,1628.287657
242.8868561,1629.196215
242.3825989,1630.459658
241.8657532,1631.332921
241.3891525,1631.698501
240.8778458,1632.598946
240.3823547,1633.350063
239.8725967,1634.263344
239.3547058,1634.833901
238.8748474,1635.664133
238.3798981,1636.736534
237.8894958,1637.457385
237.378746,1637.768151
236.8786545,1638.780693
236.3577499,1640.338648
235.8755035,1641.219392
235.3887024,1641.44015
234.8709488,1642.28045
234.3805008,1642.960464
233.8877563,1643.801595
233.3804016,1644.180127
232.8842468,1644.911678
232.3733444,1646.610591
231.8674469,1647.379893
231.3853989,1647.973599
230.8696518,1648.824826
230.3755035,1649.45025
229.8810043,1650.308723
229.3712997,1651.807557
228.8705063,1652.514823
228.3890991,1653.312782
227.8756943,1653.99165
227.3890457,1654.980335
226.8631973,1655.682053
226.3637543,1656.430372
225.8767471,1656.923951
225.3877487,1657.601671
224.8702011,1658.658041
224.3776016,1659.476678
223.8582458,1660.399013
223.3689499,1661.463969
222.8777008,1662.22767
222.3727493,1663.190666
221.8667526,1664.155173
221.3772507,1664.328738
220.8683014,1665.230904
220.3814011,1666.330152
219.8760529,1667.076423
219.3689499,1668.000239
218.8658447,1668.932683
218.3687973,1670.40437
